Date,Open,High,Low,Close,Volume,Adj Close
2013-03-26,76.62,76.96,75.81,75.89,2459500,75.36
2013-03-25,76.89,77.08,76.08,76.26,1847800,75.73
2013-03-22,76.51,77.07,76.29,76.73,1799600,76.20
2013-03-21,75.21,77.02,75.20,76.29,3336500,75.76
2013-03-20,74.64,75.37,74.55,75.32,1771600,74.80
2013-03-19,75.23,75.32,73.91,74.53,2729200,74.01
2013-03-18,75.07,75.50,74.89,75.05,2249500,74.53
2013-03-15,76.05,76.13,75.26,75.56,2912500,75.03
2013-03-14,76.25,76.84,76.21,76.41,1640700,75.88
2013-03-13,75.98,76.34,75.76,76.12,2722400,75.59
2013-03-12,76.84,77.11,75.79,76.03,2455600,75.50
2013-03-11,77.13,77.47,76.59,76.90,1712600,76.37
2013-03-08,77.90,78.07,76.82,77.14,2022600,76.60
2013-03-07,77.33,77.88,77.17,77.56,1817300,77.02
2013-03-06,78.79,78.99,77.36,77.50,2074000,76.96
2013-03-05,79.32,79.35,78.32,78.65,1715100,78.10
2013-03-04,77.99,78.90,77.80,78.86,1470900,78.31
2013-03-01,77.54,78.19,77.27,78.13,2246600,77.59
2013-02-28,77.24,78.31,77.12,77.60,3004400,77.06
2013-02-27,75.51,78.09,75.27,77.40,4956300,76.86
2013-02-26,73.90,75.78,73.83,75.51,4046200,74.99
2013-02-25,74.81,75.69,73.66,73.66,3727600,73.15
2013-02-22,74.20,74.99,74.15,74.52,2464000,74.00
2013-02-21,73.74,74.12,73.56,73.78,2294700,73.27
2013-02-20,74.53,74.74,73.92,73.95,2179700,73.44
2013-02-19,75.37,75.50,73.98,74.62,2622400,74.10
2013-02-15,73.67,75.26,73.56,75.18,3591300,74.66
2013-02-14,73.67,73.92,72.56,73.48,4252600,72.97
2013-02-13,75.64,75.70,73.59,74.00,4744000,73.49
2013-02-12,76.37,76.57,75.45,75.59,2150700,75.06
2013-02-11,76.81,76.88,76.25,76.38,1257100,75.85
2013-02-08,75.76,77.08,75.55,77.06,1941100,76.52
2013-02-07,76.12,76.47,75.66,75.89,3342700,75.36
2013-02-06,76.40,76.57,75.68,75.95,2096100,75.42
2013-02-05,76.79,76.98,76.54,76.73,2993200,76.20
2013-02-04,76.26,76.78,76.15,76.46,2717400,75.93
2013-02-01,76.61,77.11,76.40,76.65,3043000,76.12
2013-01-31,77.07,77.15,75.37,76.15,4192300,75.62
2013-01-30,79.14,79.14,76.88,76.95,3551300,76.42
2013-01-29,78.90,79.07,78.50,78.62,1857200,78.07
2013-01-28,79.73,79.73,78.75,78.88,1961100,78.33
2013-01-25,79.70,79.92,79.20,79.90,1709600,79.34
2013-01-24,79.00,79.98,79.00,79.63,2309100,79.08
2013-01-23,78.99,79.39,78.81,78.97,1698900,78.42
2013-01-22,79.47,79.49,78.97,79.25,1729500,78.70
2013-01-18,78.93,79.38,78.74,79.35,1835000,78.80
2013-01-17,78.75,79.12,78.59,78.87,1927100,78.32
2013-01-16,79.25,79.31,78.54,78.70,1767500,78.15
2013-01-15,78.65,79.33,78.25,79.32,2038700,78.77
2013-01-14,78.90,79.04,78.39,78.70,1094300,78.15
2013-01-11,78.80,79.05,78.54,78.78,1798800,78.23
2013-01-10,78.16,78.87,77.91,78.67,2949800,78.12
2013-01-09,77.53,77.95,77.37,77.73,1529000,77.19
2013-01-08,76.98,77.45,76.84,77.27,2200000,76.73
2013-01-07,76.71,77.19,76.71,76.96,1764500,76.43
2013-01-04,77.28,77.41,76.61,77.05,2231800,76.51
2013-01-03,78.37,78.47,76.80,77.12,4443700,76.58
2013-01-02,78.39,79.05,78.24,79.05,3119400,78.50
2012-12-31,75.89,77.27,75.80,77.27,1713100,76.73
2012-12-28,75.86,76.70,75.86,75.89,1243900,75.36
2012-12-27,76.32,76.84,75.36,76.29,1612800,75.76
2012-12-26,76.98,77.04,76.10,76.29,1206500,75.76
2012-12-24,76.77,77.19,76.56,77.00,779900,76.46
2012-12-21,76.87,77.03,76.31,76.77,2731000,76.24
2012-12-20,76.19,77.26,75.92,77.26,2085600,76.72
2012-12-19,76.96,77.00,76.12,76.13,2334500,75.60
2012-12-18,77.13,77.16,76.24,76.80,2569800,76.27
2012-12-17,76.95,76.96,76.20,76.90,2539400,76.37
2012-12-14,75.87,76.71,75.87,76.67,2617500,76.14
2012-12-13,75.98,77.00,75.76,76.09,2411000,75.56
2012-12-12,75.36,76.48,75.14,76.19,2310200,75.42
2012-12-11,75.39,75.95,75.07,75.21,1843000,74.45
2012-12-10,75.58,75.60,75.04,75.12,1694500,74.36
2012-12-07,75.01,75.56,74.85,75.45,1510800,74.69
2012-12-06,74.65,75.01,74.35,74.98,1613900,74.22
2012-12-05,74.96,74.99,73.52,74.61,1959200,73.86
2012-12-04,75.00,75.54,74.55,74.83,1485900,74.08
2012-12-03,75.00,75.45,74.58,74.88,1509800,74.13
2012-11-30,74.92,75.48,74.80,74.93,2178200,74.17
2012-11-29,74.49,75.03,74.19,74.90,1350000,74.15
2012-11-28,74.02,74.25,73.37,74.21,1627600,73.46
2012-11-27,74.15,74.82,73.62,74.20,1831400,73.45
2012-11-26,74.59,74.89,73.96,74.35,1407000,73.60
2012-11-23,74.28,75.00,74.02,74.98,727000,74.22
2012-11-21,73.77,74.16,73.59,74.12,1517900,73.37
2012-11-20,73.76,74.27,73.07,73.75,1882300,73.01
2012-11-19,74.61,74.70,73.51,73.71,2262700,72.97
2012-11-16,72.43,74.04,72.35,73.86,3547500,73.12
2012-11-15,73.39,73.79,71.76,72.35,1977800,71.62
2012-11-14,74.39,74.63,73.22,73.44,1778200,72.70
2012-11-13,74.48,75.46,74.21,74.23,1319500,73.48
2012-11-12,75.13,75.24,73.76,74.74,1933900,73.99
2012-11-09,74.15,75.14,74.15,74.84,1956700,74.09
2012-11-08,75.33,75.58,74.45,74.48,2403400,73.73
2012-11-07,74.04,76.04,74.03,75.24,5049000,74.48
2012-11-06,74.02,74.50,73.38,73.77,2115100,73.03
2012-11-05,73.77,74.40,73.23,73.99,2295900,73.24
2012-11-02,75.04,75.55,74.34,74.47,2650500,73.72
2012-11-01,75.17,75.54,73.23,74.58,2418000,73.83
2012-10-31,72.89,75.41,72.14,75.29,2992600,74.53
2012-10-26,73.45,73.74,72.66,73.37,1552200,72.63
2012-10-25,73.87,73.97,72.29,73.32,1996500,72.58
2012-10-24,73.56,73.75,73.16,73.50,1454300,72.76
2012-10-23,72.99,73.78,72.45,73.43,1993800,72.69
2012-10-22,73.44,73.82,72.52,73.56,1910200,72.82
2012-10-19,75.41,75.49,73.82,73.84,2531700,73.10
2012-10-18,74.75,75.55,74.53,75.49,1753500,74.73
2012-10-17,74.12,75.04,74.12,74.79,2845100,74.04
2012-10-16,75.59,76.22,74.71,74.76,2319200,74.01
2012-10-15,72.28,75.68,72.06,75.35,5277800,74.59
2012-10-12,71.80,72.31,71.64,72.17,1576100,71.44
2012-10-11,72.60,72.74,71.43,71.67,2701200,70.95
2012-10-10,71.72,72.64,71.56,72.55,1842000,71.82
2012-10-09,72.49,72.82,71.57,71.64,1555200,70.92
2012-10-08,72.71,72.77,71.98,72.51,1357700,71.78
2012-10-05,72.38,72.98,72.13,72.82,2135800,72.09
2012-10-04,72.78,72.99,71.84,71.92,2667600,71.20
2012-10-03,71.89,72.99,71.54,72.66,2140600,71.93
2012-10-02,71.09,71.66,70.45,71.66,2860300,70.94
2012-10-01,71.61,72.45,70.71,71.07,2236000,70.35
2012-09-28,70.83,71.55,70.76,71.39,2604000,70.67
2012-09-27,70.67,71.38,70.51,71.06,1638700,70.34
2012-09-26,70.10,71.66,70.03,70.72,2232700,69.78
2012-09-25,70.96,71.58,70.06,70.09,3240500,69.16
2012-09-24,70.30,70.98,70.00,70.90,1882200,69.96
2012-09-21,71.07,71.33,70.40,70.41,3795500,69.47
2012-09-20,70.42,70.92,70.19,70.79,2675400,69.85
2012-09-19,71.11,71.28,70.63,70.66,2898000,69.72
2012-09-18,71.35,71.46,71.01,71.11,1843800,70.16
2012-09-17,71.19,71.64,71.04,71.19,1972500,70.24
2012-09-14,72.91,73.10,71.07,71.36,3215000,70.41
2012-09-13,71.91,73.20,71.91,72.79,2357300,71.82
2012-09-12,72.03,72.07,71.44,71.95,1358700,70.99
2012-09-11,71.36,71.89,71.32,71.74,1282900,70.79
2012-09-10,71.91,72.11,71.29,71.40,1832500,70.45
2012-09-07,71.90,72.32,71.59,71.92,2022100,70.96
2012-09-06,71.17,71.78,71.06,71.64,2100600,70.69
2012-09-05,70.91,71.02,70.30,70.94,1717700,70.00
2012-09-04,70.48,70.92,69.84,70.78,1517200,69.84
2012-08-31,70.27,70.52,69.52,70.40,1956800,69.46
2012-08-30,69.37,70.20,69.32,70.12,1386400,69.19
2012-08-29,69.33,70.02,69.31,69.75,1222200,68.82
2012-08-28,69.24,69.96,69.10,69.49,1881100,68.57
2012-08-27,69.50,69.66,69.04,69.50,2470500,68.58
2012-08-24,69.00,69.72,68.87,69.44,3588500,68.52
2012-08-23,69.76,69.78,69.19,69.21,2048400,68.29
2012-08-22,70.04,70.44,69.78,69.87,1976800,68.94
2012-08-21,71.44,71.72,70.03,70.17,2397400,69.24
2012-08-20,71.21,71.31,70.39,71.31,1499900,70.36
2012-08-17,71.36,71.36,70.79,71.22,1883500,70.27
2012-08-16,71.09,71.19,70.47,71.05,1827900,70.11
2012-08-15,71.40,71.95,71.12,71.20,1353500,70.25
2012-08-14,71.26,71.56,71.03,71.38,1503400,70.43
2012-08-13,70.45,71.55,70.41,71.21,2304500,70.26
2012-08-10,70.30,70.64,69.91,70.51,1589600,69.57
2012-08-09,70.07,70.44,69.84,70.28,2312500,69.35
2012-08-08,70.62,70.79,69.96,70.04,2784200,69.11
2012-08-07,71.64,71.99,70.25,70.52,4340600,69.58
2012-08-06,73.36,73.36,72.46,72.50,1568500,71.54
2012-08-03,72.76,73.41,72.66,73.07,2613000,72.10
2012-08-02,71.44,72.21,71.05,72.19,2667200,71.23
2012-08-01,70.86,75.62,70.00,71.56,9242300,70.61
2012-07-31,72.10,72.81,71.88,72.31,3952900,71.35
2012-07-30,72.37,72.93,72.00,72.11,1914900,71.15
2012-07-27,71.36,72.55,71.36,72.33,2620400,71.37
2012-07-26,70.15,71.48,70.15,71.03,3141800,70.09
2012-07-25,69.48,69.76,68.81,69.26,2504400,68.34
2012-07-24,69.44,69.56,68.65,69.14,2849400,68.22
2012-07-23,70.34,70.53,69.71,69.94,2189000,69.01
2012-07-20,70.30,71.10,70.20,70.92,2668900,69.98
2012-07-19,70.01,70.75,69.68,70.52,2912200,69.58
2012-07-18,72.30,72.36,69.46,70.10,6416800,69.17
2012-07-17,72.65,73.04,72.19,73.03,2019600,72.06
2012-07-16,72.15,72.42,71.88,72.28,2232300,71.32
2012-07-13,71.06,72.15,71.01,72.15,2675700,71.19
2012-07-12,69.93,71.42,69.47,71.09,3436700,70.14
2012-07-11,69.90,70.39,69.04,70.20,3277400,69.27
2012-07-10,71.93,72.18,69.70,69.90,3898900,68.97
2012-07-09,71.10,71.94,70.68,71.82,2335600,70.87
