Date,Open,High,Low,Close,Volume,Adj Close
2013-05-24,109.86,110.49,109.49,110.27,2228400,110.27
2013-05-23,110.06,110.70,109.58,110.41,2568400,110.41
2013-05-22,111.59,112.29,110.57,110.79,3833200,110.79
2013-05-21,112.11,112.34,111.52,112.01,2473300,111.38
2013-05-20,111.13,112.06,110.96,111.72,2457300,111.09
2013-05-17,111.16,111.78,110.94,111.39,4060400,110.76
2013-05-16,111.21,111.70,110.95,111.07,2685900,110.44
2013-05-15,110.40,111.71,110.29,111.50,2912600,110.87
2013-05-14,110.32,110.79,110.27,110.59,2481000,109.96
2013-05-13,109.99,110.72,109.71,110.50,2044400,109.87
2013-05-10,110.08,110.64,109.75,110.48,2993300,109.85
2013-05-09,108.11,110.51,108.11,109.92,4487000,109.30
2013-05-08,108.03,108.29,107.77,108.20,2654400,107.59
2013-05-07,107.61,108.37,107.55,108.01,2235200,107.40
2013-05-06,107.63,107.99,107.45,107.84,2174400,107.23
2013-05-03,106.96,108.60,106.85,107.83,3013100,107.22
2013-05-02,105.04,106.38,104.91,106.04,3119500,105.44
2013-05-01,104.78,105.12,104.42,104.55,3258900,103.96
2013-04-30,103.98,104.74,102.97,104.71,3768800,104.12
2013-04-29,103.91,104.20,102.89,103.83,2903700,103.24
2013-04-26,104.97,105.18,103.46,103.79,3359400,103.20
2013-04-25,104.46,105.64,103.50,104.88,9027000,104.29
2013-04-24,107.61,108.15,107.24,107.87,3238200,107.26
2013-04-23,106.24,107.51,105.86,107.39,3209800,106.78
2013-04-22,105.71,106.10,105.14,105.80,2646800,105.20
2013-04-19,105.31,105.88,104.82,105.71,3323000,105.11
2013-04-18,105.84,105.97,104.28,104.98,3144700,104.38
2013-04-17,105.47,105.80,104.93,105.48,3155300,104.88
2013-04-16,106.69,106.85,105.70,106.15,2636800,105.55
2013-04-15,107.15,107.91,105.74,105.76,3677400,105.16
2013-04-12,107.89,108.27,107.31,107.68,2111400,107.07
2013-04-11,107.86,108.72,107.86,108.25,2137800,107.64
2013-04-10,106.09,107.93,106.03,107.69,3262400,107.08
2013-04-09,106.00,106.69,105.39,105.95,2370600,105.35
2013-04-08,105.86,106.42,105.10,105.75,1947700,105.15
2013-04-05,104.45,105.88,104.35,105.78,2477800,105.18
2013-04-04,105.82,106.22,105.30,105.82,1771200,105.22
2013-04-03,106.60,106.97,105.43,105.68,3278900,105.08
2013-04-02,105.80,106.80,105.79,106.52,2097500,105.92
2013-04-01,106.00,106.17,105.42,105.65,1684300,105.05
2013-03-28,105.67,106.34,105.28,106.31,2276700,105.71
2013-03-27,105.35,105.50,104.97,105.29,2129500,104.69
2013-03-26,105.41,106.22,105.41,106.07,1893500,105.47
2013-03-25,106.53,106.80,104.68,105.17,3739200,104.57
2013-03-22,105.10,106.49,105.10,106.42,2409800,105.82
2013-03-21,105.39,105.46,104.72,104.94,1937300,104.35
2013-03-20,105.91,106.17,105.38,105.66,1799500,105.06
2013-03-19,105.83,105.98,104.64,105.18,3211400,104.58
2013-03-18,105.23,105.96,105.22,105.41,1811400,104.81
2013-03-15,105.90,106.88,105.85,106.40,5148400,105.80
2013-03-14,105.33,106.02,105.26,106.02,2203400,105.42
2013-03-13,105.13,105.57,104.88,105.09,2059600,104.49
2013-03-12,105.82,105.98,104.96,105.13,2226800,104.53
2013-03-11,105.33,105.96,105.33,105.81,1720600,105.21
2013-03-08,105.00,105.81,104.82,105.71,2357200,105.11
2013-03-07,104.80,105.15,104.49,104.54,1875200,103.95
2013-03-06,104.73,105.42,104.47,104.66,3470300,104.07
2013-03-05,103.76,104.81,103.65,104.45,2632200,103.86
2013-03-04,103.51,103.51,102.59,103.28,2566300,102.69
2013-03-01,103.39,103.94,102.72,103.77,2660400,103.18
2013-02-28,103.60,104.56,103.14,104.00,2870100,103.41
2013-02-27,102.10,103.93,101.95,103.57,2353700,102.98
2013-02-26,102.11,102.66,101.91,102.31,2471900,101.73
2013-02-25,103.91,104.04,101.75,101.75,3021900,101.17
2013-02-22,102.99,103.70,102.82,103.54,2158100,102.95
2013-02-21,102.88,103.14,102.39,102.72,2758000,102.14
2013-02-20,104.18,104.40,103.15,103.15,2995400,102.57
2013-02-19,103.42,104.39,103.32,104.18,2988500,103.59
2013-02-15,103.06,103.38,102.62,103.23,2326200,102.64
2013-02-14,102.43,103.14,102.22,102.78,2217500,102.20
2013-02-13,103.03,103.39,102.58,102.86,1699900,102.28
2013-02-12,102.66,103.59,102.63,103.46,1928000,102.24
2013-02-11,102.39,102.88,102.04,102.62,1715500,101.41
2013-02-08,102.34,103.33,102.04,102.66,1937800,101.45
2013-02-07,102.65,102.74,101.46,102.22,2277600,101.02
2013-02-06,101.13,102.99,101.08,102.69,3510600,101.48
2013-02-05,101.31,101.92,101.25,101.49,2833100,100.30
2013-02-04,100.77,101.21,100.58,100.77,1987600,99.58
2013-02-01,101.44,101.99,101.16,101.56,3853600,100.36
2013-01-31,100.69,100.95,100.07,100.55,3763100,99.37
2013-01-30,101.80,101.95,100.69,100.80,2822800,99.61
2013-01-29,100.33,101.87,100.06,101.81,3530700,100.61
2013-01-28,100.98,100.98,100.27,100.65,2964900,99.47
2013-01-25,99.79,100.87,99.58,100.59,4237800,99.41
2013-01-24,99.38,99.82,98.80,99.67,3816300,98.50
2013-01-23,98.97,99.70,98.81,99.49,3579300,98.32
2013-01-22,98.39,99.33,98.10,99.33,3215200,98.16
2013-01-18,98.42,98.80,98.04,98.74,3187900,97.58
2013-01-17,97.79,98.50,97.51,98.08,2803900,96.93
2013-01-16,97.00,97.70,96.92,97.60,2092300,96.45
2013-01-15,96.83,97.40,96.57,97.29,2106400,96.14
2013-01-14,96.40,97.39,96.10,97.08,2592500,95.94
2013-01-11,95.84,96.66,95.21,96.28,2923900,95.15
2013-01-10,96.71,96.99,96.33,96.89,2600600,95.75
2013-01-09,95.87,96.74,95.71,96.41,2359700,95.28
2013-01-08,95.17,95.75,95.10,95.50,2655500,94.38
2013-01-07,95.02,95.73,94.76,95.49,2745800,94.37
2013-01-04,94.79,95.48,94.54,95.37,2704900,94.25
2013-01-03,94.34,94.93,94.13,94.67,2704600,93.56
2013-01-02,94.19,94.79,93.96,94.78,3206700,93.66
2012-12-31,91.55,92.92,91.40,92.85,2580600,91.76
2012-12-28,91.98,92.80,91.61,91.78,1877300,90.70
2012-12-27,93.11,93.17,91.67,92.64,2360900,91.55
2012-12-26,93.35,93.73,92.75,93.07,1542900,91.97
2012-12-24,92.70,93.72,92.69,93.19,953400,92.09
2012-12-21,92.78,93.66,91.94,93.10,5975500,92.00
2012-12-20,93.35,94.14,93.21,94.13,3289800,93.02
2012-12-19,93.92,93.98,92.97,93.02,3254800,91.92
2012-12-18,93.13,94.00,93.00,93.85,2800000,92.75
2012-12-17,92.39,93.11,92.13,93.03,2750700,91.93
2012-12-14,92.00,92.58,92.00,92.28,2709000,91.19
2012-12-13,92.95,93.45,92.16,92.50,2621400,91.41
2012-12-12,93.72,94.00,92.52,93.12,4064900,92.02
2012-12-11,92.65,93.90,92.50,93.68,3821600,92.58
2012-12-10,91.37,92.48,91.35,91.87,2847700,90.79
2012-12-07,91.24,91.67,90.68,91.51,2476400,90.43
2012-12-06,90.80,91.09,90.31,90.95,2027700,89.88
2012-12-05,90.30,91.20,89.60,90.76,2996600,89.69
2012-12-04,90.31,90.69,90.00,90.12,1969800,89.06
2012-12-03,91.41,91.68,90.12,90.30,1929200,89.24
2012-11-30,90.68,91.19,90.49,90.95,2284900,89.88
2012-11-29,91.35,91.97,90.51,90.65,2364000,89.58
2012-11-28,90.10,91.00,89.48,90.93,2426200,89.86
2012-11-27,90.19,90.96,90.12,90.31,2504200,89.25
2012-11-26,89.54,90.25,89.54,90.09,1910200,89.03
2012-11-23,89.29,90.33,89.15,90.28,1101100,89.22
2012-11-21,89.08,89.15,88.66,88.94,2011300,87.89
2012-11-20,89.08,89.68,88.40,89.02,2035100,87.97
2012-11-19,89.25,89.70,88.77,89.57,2688600,87.93
2012-11-16,88.12,89.38,87.75,88.50,5237100,86.88
2012-11-15,86.74,88.29,86.74,88.02,3291600,86.41
2012-11-14,89.17,89.38,87.07,87.31,2882700,85.71
2012-11-13,88.60,90.19,88.36,89.08,2985900,87.45
2012-11-12,88.96,89.67,88.50,89.18,2220100,87.55
2012-11-09,88.60,89.56,88.10,88.81,3176400,87.19
2012-11-08,89.11,89.83,88.46,88.55,3005900,86.93
2012-11-07,90.34,90.34,88.71,89.38,4593100,87.75
2012-11-06,89.95,91.23,89.87,90.86,2806100,89.20
2012-11-05,88.08,89.84,88.08,89.60,2387800,87.96
2012-11-02,89.61,89.97,88.78,88.97,3051900,87.34
2012-11-01,87.94,89.40,87.84,89.25,3306600,87.62
2012-10-31,88.03,88.69,87.49,87.60,3360400,86.00
2012-10-26,87.90,88.54,87.59,88.03,3592600,86.42
2012-10-25,88.57,88.84,87.41,87.81,4613900,86.20
2012-10-24,89.03,89.54,88.15,88.39,3321300,86.77
2012-10-23,89.67,90.52,88.58,88.73,5866000,87.11
2012-10-22,92.41,93.06,91.50,92.53,3130800,90.84
2012-10-19,94.61,94.61,92.69,92.94,3804100,91.24
2012-10-18,94.68,95.00,94.17,94.74,2538800,93.01
2012-10-17,94.94,95.10,94.55,94.81,3191800,93.08
2012-10-16,94.02,94.34,93.29,94.23,2857500,92.51
2012-10-15,92.71,93.06,92.37,92.79,2916300,91.09
2012-10-12,92.95,93.34,92.40,92.75,2566100,91.05
2012-10-11,93.86,93.87,92.78,92.83,2429200,91.13
2012-10-10,93.95,94.00,93.15,93.28,2561600,91.57
2012-10-09,95.29,95.29,93.90,93.94,2989500,92.22
2012-10-08,94.55,95.46,94.50,95.37,2607600,93.63
2012-10-05,94.74,95.20,94.45,94.96,3663600,93.22
2012-10-04,94.05,94.53,93.66,94.43,2531400,92.70
2012-10-03,93.81,94.00,93.00,93.78,2610300,92.07
2012-10-02,94.23,94.29,93.10,93.54,3602300,91.83
2012-10-01,92.90,94.27,92.21,93.29,3900600,91.58
2012-09-28,92.47,92.86,91.70,92.42,2559500,90.73
2012-09-27,92.89,93.21,91.96,92.82,2081400,91.12
2012-09-26,92.88,93.40,92.54,92.59,2612900,90.90
2012-09-25,93.95,94.10,92.72,92.83,3800400,91.13
2012-09-24,92.85,94.09,92.76,93.73,3037400,92.02
2012-09-21,94.06,94.07,92.94,93.21,9547000,91.51
2012-09-20,93.20,93.63,92.91,93.58,2075600,91.87
2012-09-19,92.88,94.06,92.73,93.63,2723500,91.92
2012-09-18,93.78,93.99,93.22,93.43,2477500,91.72
2012-09-17,93.66,94.09,93.49,93.78,3290300,92.07
2012-09-14,92.86,93.98,92.56,93.98,4993000,92.26
2012-09-13,90.92,92.43,90.46,92.06,2729300,90.38
2012-09-12,91.60,91.66,90.46,90.81,2409600,89.15
2012-09-11,90.73,91.59,90.65,91.17,2403400,89.50
2012-09-10,92.27,92.31,90.61,90.67,6356100,89.01
2012-09-07,93.38,93.65,92.70,92.82,3215400,91.12
2012-09-06,92.37,93.38,92.06,93.28,3223400,91.57
2012-09-05,91.92,91.99,91.11,91.75,2985500,90.07
2012-09-04,92.03,92.33,91.10,91.68,2532300,90.00
2012-08-31,92.44,93.00,91.90,92.60,1917300,90.91
2012-08-30,92.05,92.15,91.30,91.76,1729600,90.08
2012-08-29,92.50,92.80,92.30,92.43,1736000,90.74
2012-08-28,92.36,92.77,92.20,92.30,1913000,90.61
2012-08-27,92.92,92.97,92.40,92.59,1880000,90.90
2012-08-24,92.03,92.97,91.94,92.83,1945800,91.13
2012-08-23,92.65,92.68,91.79,91.98,1823500,90.30
2012-08-22,92.56,93.36,92.43,92.68,2464000,90.99
2012-08-21,93.98,94.10,92.99,93.21,2302800,90.93
2012-08-20,94.00,94.17,93.55,93.89,1639500,91.59
2012-08-17,93.93,94.30,93.59,94.24,3069600,91.93
2012-08-16,92.75,93.87,92.21,93.74,3395200,91.44
2012-08-15,92.00,92.74,91.94,92.54,1983400,90.27
2012-08-14,92.36,92.50,92.01,92.30,1843500,90.04
2012-08-13,92.29,92.59,91.74,92.40,2075400,90.14
2012-08-10,91.37,92.30,90.95,92.29,1755100,90.03
2012-08-09,91.50,92.07,91.33,91.59,1834900,89.35
2012-08-08,91.48,92.08,91.25,91.63,2022300,89.39
2012-08-07,91.70,92.31,91.62,91.70,1764800,89.45
2012-08-06,92.00,92.34,91.41,91.41,1858500,89.17
2012-08-03,91.03,91.79,91.01,91.70,2713500,89.45
2012-08-02,90.11,90.73,89.23,90.08,2949800,87.87
2012-08-01,91.65,91.80,90.61,91.20,2149700,88.97
2012-07-31,91.00,91.66,90.87,91.23,2720200,89.00
2012-07-30,91.41,91.95,90.91,91.28,2714900,89.04
2012-07-27,90.94,92.08,90.66,91.71,3915400,89.46
2012-07-26,90.00,92.00,89.53,90.59,4759400,88.37
2012-07-25,88.69,89.16,87.96,88.75,3541200,86.58
2012-07-24,89.28,89.51,87.58,88.24,2850400,86.08
2012-07-23,88.44,89.56,87.78,89.36,2434800,87.17
2012-07-20,90.18,90.49,89.84,89.99,3024800,87.79
2012-07-19,90.87,91.20,90.40,90.83,3355100,88.61
2012-07-18,88.75,90.99,88.56,90.87,4273300,88.64
2012-07-17,88.25,89.35,87.55,88.98,3078500,86.80
2012-07-16,88.12,88.65,87.77,88.10,2848100,85.94
2012-07-13,86.32,87.83,86.32,87.59,2599300,85.44
2012-07-12,86.60,86.97,85.34,86.41,4938300,84.29
2012-07-11,88.38,88.76,87.01,87.85,4208600,85.70
2012-07-10,89.08,89.82,87.96,88.25,3356800,86.09
2012-07-09,88.86,89.08,88.31,88.96,2600900,86.78
