Date,Open,High,Low,Close,Volume,Adj Close
2013-05-01,81.25,81.80,80.52,80.78,749700,80.44
2013-04-30,79.48,82.41,79.48,81.09,1876400,80.75
2013-04-29,80.41,81.29,79.17,79.55,1277000,79.22
2013-04-26,79.45,80.24,79.01,79.97,958900,79.63
2013-04-25,77.75,80.25,77.19,79.75,2855000,79.41
2013-04-24,81.14,81.72,79.64,80.99,1957500,80.65
2013-04-23,81.10,82.21,79.87,80.86,2663500,80.52
2013-04-22,81.00,81.96,80.94,81.72,1113600,81.38
2013-04-19,80.66,81.25,80.21,81.13,1486000,80.79
2013-04-18,80.17,81.42,80.17,80.66,1887700,80.32
2013-04-17,80.33,81.08,79.99,80.20,2745300,79.86
2013-04-16,78.90,81.66,78.55,80.76,3681300,80.42
2013-04-15,77.29,78.14,76.85,77.77,1656400,77.44
2013-04-12,77.26,77.95,76.89,77.51,727900,77.18
2013-04-11,77.17,78.35,77.02,77.57,778800,77.24
2013-04-10,75.83,77.17,75.79,77.07,761800,76.75
2013-04-09,76.50,76.59,75.50,75.73,1013100,75.41
2013-04-08,75.62,76.64,75.62,76.64,659900,76.32
2013-04-05,74.83,75.88,74.44,75.76,885400,75.44
2013-04-04,75.99,76.51,75.36,75.50,1442300,75.18
2013-04-03,76.98,76.98,75.41,75.80,2291900,75.48
2013-04-02,77.08,78.02,76.66,76.80,1466500,76.48
2013-04-01,77.26,77.70,76.78,76.94,884300,76.62
2013-03-28,77.20,77.60,76.78,77.45,893300,77.12
2013-03-27,76.62,77.40,76.51,77.13,920000,76.81
2013-03-26,77.14,77.29,76.48,76.90,1388100,76.58
2013-03-25,76.24,77.25,76.11,77.00,1884600,76.68
2013-03-22,75.57,76.44,75.33,75.81,1412500,75.49
2013-03-21,74.56,76.43,74.26,75.72,2207400,75.40
2013-03-20,73.84,74.61,73.63,74.52,1363100,74.21
2013-03-19,74.44,74.57,73.14,73.49,1680700,73.18
2013-03-18,72.93,74.75,72.68,74.30,2186200,73.99
2013-03-15,72.61,74.04,72.50,73.35,2950100,73.04
2013-03-14,70.74,73.18,70.58,72.70,4269500,72.39
2013-03-13,71.70,71.70,70.01,70.50,3278100,70.20
2013-03-12,72.75,72.86,71.47,71.70,1836900,71.40
2013-03-11,74.25,74.57,72.59,72.72,1843100,72.41
2013-03-08,75.03,75.34,74.79,74.93,1135400,74.28
2013-03-07,75.64,75.90,74.35,74.73,879000,74.08
2013-03-06,75.79,75.89,75.31,75.59,865900,74.93
2013-03-05,75.53,75.76,75.05,75.45,1028200,74.79
2013-03-04,75.01,75.47,74.67,75.21,1751000,74.55
2013-03-01,74.74,75.44,74.24,75.27,1857900,74.61
2013-02-28,75.04,75.64,74.57,74.91,1938400,74.26
2013-02-27,74.62,74.98,74.24,74.65,1875400,74.00
2013-02-26,75.64,75.99,74.27,74.42,2927300,73.77
2013-02-25,76.84,77.68,75.28,75.32,4590600,74.66
2013-02-22,78.42,79.09,78.15,78.96,1361500,78.27
2013-02-21,78.83,79.27,77.79,78.07,2261300,77.39
2013-02-20,80.49,81.04,79.04,79.05,1779900,78.36
2013-02-19,79.18,80.43,78.79,80.40,2283200,79.70
2013-02-15,78.79,79.12,78.05,78.95,1776600,78.26
2013-02-14,77.80,78.63,77.80,78.40,1506000,77.72
2013-02-13,77.86,78.17,77.38,77.84,1463800,77.16
2013-02-12,77.26,77.73,76.56,77.65,909900,76.97
2013-02-11,77.34,77.66,76.92,77.33,947300,76.66
2013-02-08,76.85,77.81,76.57,77.51,1095800,76.83
2013-02-07,77.35,77.96,76.08,76.85,1054700,76.18
2013-02-06,75.77,77.21,74.94,77.20,1646900,76.53
2013-02-05,75.33,77.19,75.33,76.16,1637500,75.50
2013-02-04,75.12,75.66,74.32,75.06,2643500,74.41
2013-02-01,75.39,76.11,74.32,75.05,3302600,74.40
2013-01-31,74.01,77.22,73.58,76.00,7468100,75.34
2013-01-30,68.56,68.79,68.09,68.15,2163500,67.56
2013-01-29,68.50,69.05,68.30,68.71,1293100,68.11
2013-01-28,70.17,70.38,68.41,68.53,1333200,67.93
2013-01-25,69.63,70.49,69.45,70.03,1573700,69.42
2013-01-24,68.36,69.68,68.36,69.54,1567900,68.93
2013-01-23,67.78,68.65,67.78,68.50,1643600,67.90
2013-01-22,66.77,67.86,65.38,67.78,1908400,67.19
2013-01-18,66.69,67.30,66.61,66.80,1772200,66.22
2013-01-17,66.34,66.96,65.55,66.52,2528000,65.94
2013-01-16,68.38,68.38,65.78,66.96,2401200,66.38
2013-01-15,69.44,69.58,69.09,69.24,1201600,68.64
2013-01-14,69.32,69.81,68.73,69.49,1365700,68.88
2013-01-11,68.32,69.40,67.70,69.16,3345400,68.56
2013-01-10,68.57,69.10,68.00,68.19,1775100,67.60
2013-01-09,69.24,69.35,68.02,68.24,1121800,67.64
2013-01-08,69.82,70.06,68.87,69.11,1107900,68.51
2013-01-07,69.97,69.97,69.29,69.74,1728700,69.13
2013-01-04,70.15,70.37,69.67,69.99,2060300,69.38
2013-01-03,68.70,70.30,68.09,69.95,2824500,69.34
2013-01-02,66.78,68.83,66.76,68.81,1953100,68.21
2012-12-31,65.00,65.92,64.50,65.89,818600,65.32
2012-12-28,65.36,66.07,65.04,65.11,691400,64.54
2012-12-27,65.79,65.81,65.09,65.57,970800,65.00
2012-12-26,66.06,66.43,65.57,65.66,909300,65.09
2012-12-24,65.56,66.85,65.47,66.13,366000,65.55
2012-12-21,65.85,66.51,65.29,65.73,1734700,65.16
2012-12-20,65.99,66.27,65.57,66.27,1383900,65.69
2012-12-19,66.45,66.68,65.79,65.83,1739900,65.26
2012-12-18,66.14,66.48,65.98,66.20,2297800,65.62
2012-12-17,65.61,66.06,65.43,66.00,1653200,65.42
2012-12-14,65.38,66.61,65.38,65.86,3427900,65.29
2012-12-13,65.74,66.16,65.55,65.63,1305800,65.06
2012-12-12,66.63,66.68,65.86,66.04,1472900,65.17
2012-12-11,66.74,66.77,66.38,66.54,1484200,65.66
2012-12-10,66.73,66.92,66.22,66.47,1678800,65.59
2012-12-07,67.10,67.10,66.65,66.82,1440200,65.94
2012-12-06,67.61,67.62,66.60,66.83,1171500,65.95
2012-12-05,68.09,68.23,67.55,67.57,1152500,66.68
2012-12-04,68.07,68.33,67.59,67.61,2131000,66.72
2012-12-03,68.41,68.55,67.92,68.05,2274100,67.15
2012-11-30,68.21,68.61,67.78,68.19,2110400,67.29
2012-11-29,68.39,69.00,68.05,68.37,1947700,67.47
2012-11-28,67.28,68.39,66.97,68.34,1427100,67.44
2012-11-27,66.98,67.51,66.98,67.21,2117600,66.32
2012-11-26,66.86,67.36,66.85,67.33,1646900,66.44
2012-11-23,66.56,67.49,66.48,67.40,620500,66.51
2012-11-21,66.29,66.77,65.80,66.12,1743900,65.25
2012-11-20,66.88,67.36,65.52,66.12,1967800,65.25
2012-11-19,66.40,67.53,66.40,66.82,1450800,65.94
2012-11-16,66.55,66.81,65.36,65.97,2378000,65.10
2012-11-15,66.86,67.32,66.11,66.67,2383700,65.79
2012-11-14,67.70,67.75,66.53,66.64,2018500,65.76
2012-11-13,65.52,68.04,65.41,67.70,3377600,66.80
2012-11-12,65.80,66.04,65.57,65.85,1013400,64.98
2012-11-09,65.59,66.04,65.30,65.70,1271600,64.83
2012-11-08,66.16,66.37,65.51,65.51,1950000,64.64
2012-11-07,66.06,66.57,65.34,66.24,2248300,65.36
2012-11-06,65.72,66.52,65.36,66.27,2252700,65.39
2012-11-05,65.05,65.83,65.03,65.62,3115200,64.75
2012-11-02,63.81,66.56,63.81,64.97,4497600,64.11
2012-11-01,62.02,64.36,61.99,63.72,6662800,62.88
2012-10-31,62.54,63.17,61.27,61.66,4668400,60.84
2012-10-26,63.69,63.85,61.73,62.00,5859300,61.18
2012-10-25,65.58,65.98,62.51,63.53,11838400,62.69
2012-10-24,70.15,70.45,69.17,69.51,1639900,68.59
2012-10-23,69.35,70.10,69.15,69.99,1396700,69.06
2012-10-22,70.02,70.10,68.87,69.77,1701100,68.85
2012-10-19,71.42,71.42,69.83,70.22,1909000,69.29
2012-10-18,71.69,72.00,71.34,71.44,1193800,70.50
2012-10-17,71.52,72.33,71.29,71.77,1541300,70.82
2012-10-16,70.99,71.65,70.82,71.37,2070700,70.43
2012-10-15,70.63,71.09,70.35,70.77,1241200,69.83
2012-10-12,71.19,71.19,70.08,70.61,1031900,69.68
2012-10-11,71.45,71.63,70.88,71.01,1655000,70.07
2012-10-10,71.52,72.10,70.97,71.07,1142300,70.13
2012-10-09,72.31,72.34,71.63,71.70,1156000,70.75
2012-10-08,72.56,72.77,71.60,72.16,1148900,71.21
2012-10-05,73.01,73.08,72.19,72.60,1790000,71.64
2012-10-04,72.88,73.36,72.45,72.65,991200,71.69
2012-10-03,72.85,73.30,72.45,72.61,1748200,71.65
2012-10-02,73.25,73.99,72.12,72.45,1627700,71.49
2012-10-01,73.26,74.25,72.70,72.96,2231300,71.99
2012-09-28,74.06,74.06,72.84,73.28,1778600,72.31
2012-09-27,73.57,74.79,73.37,74.36,938700,73.38
2012-09-26,73.83,74.27,73.31,73.37,1669600,72.40
2012-09-25,75.13,76.23,73.47,73.64,3195300,72.67
2012-09-24,76.77,76.86,74.71,74.77,2025800,73.78
2012-09-21,76.93,78.15,76.32,77.57,2626800,76.54
2012-09-20,77.11,77.22,76.04,76.53,1392800,75.52
2012-09-19,76.00,77.44,75.95,77.05,1383400,76.03
2012-09-18,74.11,76.19,74.11,75.72,2361100,74.72
2012-09-17,75.08,75.61,73.80,74.02,1449000,73.04
2012-09-14,75.51,76.11,74.40,75.16,1336900,74.17
2012-09-13,74.69,75.73,74.43,75.54,1257900,74.54
2012-09-12,74.76,75.17,74.50,74.56,1081000,73.28
2012-09-11,75.86,75.86,74.51,74.71,1824500,73.43
2012-09-10,76.01,76.54,75.69,75.78,1157500,74.48
2012-09-07,75.72,76.85,75.57,75.98,1982100,74.67
2012-09-06,76.06,76.18,74.84,75.70,3050200,74.40
2012-09-05,73.59,76.72,73.57,75.95,3614000,74.64
2012-09-04,73.50,74.00,72.42,73.59,1281700,72.32
2012-08-31,72.53,73.42,72.19,73.33,1223800,72.07
2012-08-30,72.14,72.46,71.66,72.31,790400,71.07
2012-08-29,73.51,73.52,72.31,72.44,936200,71.19
2012-08-28,72.72,73.69,72.42,73.33,1303700,72.07
2012-08-27,72.97,73.23,72.19,72.93,994500,71.68
2012-08-24,71.84,72.99,71.80,72.81,1102600,71.56
2012-08-23,71.45,72.35,70.98,72.16,1530600,70.92
2012-08-22,70.79,71.85,69.76,71.71,2555100,70.48
2012-08-21,72.39,72.49,70.59,70.93,1943100,69.71
2012-08-20,72.81,73.01,71.80,72.35,1352500,71.11
2012-08-17,73.31,73.31,72.49,72.93,1644100,71.68
2012-08-16,73.13,73.16,72.15,73.08,1987400,71.82
2012-08-15,72.83,73.03,72.36,72.92,1627300,71.67
2012-08-14,73.24,73.35,72.51,73.00,1048800,71.74
2012-08-13,73.12,73.44,72.68,72.96,1565800,71.71
2012-08-10,73.22,73.46,72.44,73.00,1368600,71.74
2012-08-09,73.20,74.32,73.02,73.21,1065300,71.95
2012-08-08,73.96,74.13,72.85,73.22,1885300,71.96
2012-08-07,73.02,73.34,72.51,73.02,2067400,71.76
2012-08-06,73.74,74.03,72.66,72.69,1429800,71.44
2012-08-03,73.18,74.79,73.01,73.84,1208500,72.57
2012-08-02,71.92,72.50,71.48,72.08,1201300,70.84
2012-08-01,73.26,73.50,72.17,72.31,1523800,71.07
2012-07-31,72.36,73.15,71.96,72.96,2146600,71.71
2012-07-30,72.18,72.86,71.60,72.60,1778400,71.35
2012-07-27,71.83,74.24,70.92,72.02,3381700,70.78
2012-07-26,72.66,74.83,68.09,70.69,6224200,69.47
2012-07-25,73.18,73.59,72.32,72.98,1942400,71.72
2012-07-24,73.21,73.62,72.64,73.11,1943900,71.85
2012-07-23,73.34,73.47,72.23,72.94,1184600,71.69
2012-07-20,74.30,74.69,73.04,74.08,2157400,72.81
2012-07-19,73.01,75.13,72.37,74.93,3553900,73.64
2012-07-18,73.58,74.61,71.89,73.01,3049600,71.75
2012-07-17,73.15,74.13,73.01,73.59,2606300,72.32
2012-07-16,75.47,75.47,71.46,73.00,7270000,71.74
2012-07-13,77.53,77.70,76.96,77.02,1996600,75.70
2012-07-12,77.69,79.73,76.69,77.54,2274500,76.21
2012-07-11,79.85,80.73,76.45,78.28,7861000,76.93
2012-07-10,79.43,79.65,72.40,75.29,10316600,74.00
2012-07-09,79.99,80.11,78.45,78.70,1258400,77.35
